program1	program2	overlap_without_Asns
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	GOBP_RESPONSE_TO_AMINO_ACID_STARVATION	1
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	GOBP_RESPONSE_TO_AMINO_ACID_STARVATION	2
